name,id
David Twohy,2787
Jonathan Lynn,2069
Sam Peckinpah,10839
George Lucas,838
James Frawley,11176
James Wong,9532
Michael Winner,13939
Michael Winner,14373
Michael Winner,24873
J. Lee Thompson,26263
Allan A. Goldstein,34746
Steve Barron,1498
Michael Pressman,1497
Stuart Gillard,1499
Newt Arnold,11690
Donald Petrie,11520
Robert Rossen,990
Rob Cohen,11478
Gene Saks,11356
Steve Gordon,13665
Neal Israel,12309
John McTiernan,106
Mary Harron,1359
Damien O'Donnell,10557
Harold Ramis,11977
Bharat Nalluri,9456
Brian Levant,889
Adam Simon,39283
Darren Moloney,39283
Louis Morneau,65460
Jonathan Winfrey,55667
Jack Sholder,12476
Dario Argento,16395
Nicholas Hytner,10560
Tim Burton,5683
William Roberts,14906
Hamilton Luske,14906
Wilfred Jackson,14906
Jack Kinney,14906
Todd Phillips,9285
John Woo,955
Tom Dey,8584
Peter R. Hunt,668
Lewis Gilbert,691
Lewis Gilbert,698
Guy Hamilton,682
Raja Gosnell,9600
J. Lee Thompson,10911
Roy Ward Baker,26912
Val Guest,26278
David Schmoeller,26953
Dave Allen,26954
David DeCoteau,26956
Jeff Burr,26957
Jeff Burr,26958
David DeCoteau,26959
David DeCoteau,26960
Joe Camp,21299
Joe Camp,38802
Penelope Spheeris,36724
Sergio Leone,938
Ted Post,10648
Bob Clark,10246
Bob Clark,19698
James Komack,23919
Lloyd Kaufman,15239
Michael Herz,15239
Stephen Hopkins,169
Graham Baker,10128
George Miller,9659
George Miller,8810
George Miller,9355
George Ogilvie,9355
Adrian Lyne,10068
Mark L. Lester,11495
Gordon Parks,482
John Singleton,479
Robert Mandel,9873
Richard Franklin,16820
Joseph Zito,15379
Lance Hool,12764
Aaron Norris,27352
Gordon Hessler,17897
Reginald Hudlin,16094
John Guillermin,494
Gordon Parks,493
Keenen Ivory Wayans,4247
Bryan Singer,36657
Michael Haigney,12599
Kunihiko Yuyama,12599
Sam Wanamaker,11940
Peter Segal,12107
Paul Verhoeven,9383
Don Coscarelli,15158
Don Coscarelli,16146
Stan Winston,26515
Robert Hiltzik,13567
Don Edmonds,20850
Tarsem Singh,8843
Takao Okawara,10643
David Zucker,37136
David Zucker,37137
Christian Duguay,11398
Peyton Reed,1588
Douglas Aarniokoski,12211
Stefan Ruzowitzky,1698
John Ottman,12212
Lars von Trier,16
Clive Barker,9003
Tony Randel,9064
Anthony Hickox,11569
William Asher,26484
William Asher,39113
Edward Bernds,38126
Jack Arnold,10973
James Whale,10787
Amy Holden Jones,27475
Deborah Brock,27764
Carol Frank,40760
Jim Wynorski,40446
Jay Roach,1597
Tom Laughlin,21142
Tom Laughlin,78140
Luca Bercovici,18498
Albert Band,28605
Liu Chia-Liang,12207
Joe Berlinger,11531
McG,4327
Guy Hamilton,681
Stig Bergqvist,16340
Kevin Lima,10481
Ang Lee,146
Courtney Solomon,11849
John Glen,708
Oliver Stone,10673
Mark Dindal,11688
Donald Petrie,1493
Patrick Lussier,10577
John Huston,15739
Thomas Carter,9816
Martin Brest,90
Jerry Rees,19933
Sam Raimi,764
Joseph Sargent,580
Joel Schumacher,1547
Michael Gottlieb,10019
Vic Sarin,37302
Wong Kar-wai,843
Ridley Scott,9740
Chuck Sheetz,19405
Delmer Daves,43332
Robert Fuest,17965
Michael Mann,11454
Jeff Kanew,14052
Joe Roth,16889
Douglas Cheek,23730
Robert Rodriguez,10054
Lee Tamahori,2043
Jean-Marie Poiré,56715
Michael Haigney,10991
Kunihiko Yuyama,10991
Sharon Maguire,634
Dennie Gordon,10956
Simon Wincer,9290
Stephen Sommers,1734
Andrew Adamson,808
Vicky Jenson,808
Ron Underwood,1406
Michelangelo Antonioni,41050
John Sturges,966
Burt Kennedy,12639
Gary Trousdale,10865
Kirk Wise,10865
Simon West,1995
Steve Carr,10808
Rob Cohen,9799
Mathieu Kassovitz,60670
Lawrence Guterman,10992
Keenen Ivory Wayans,4248
William Asher,26483
Hal Needham,11286
Hal Needham,11950
Jim Drake,12236
Norman Taurog,26573
Tommy Chong,20075
Thomas K. Avildsen,20197
Dario Argento,11906
Hironobu Sakaguchi,2114
Motonori Sakakibara,2114
Robert Luketic,8835
Bud Yorkin,26044
Randal Kleiser,30502
Allan Arkush,18509
Stephen Herek,3980
Mick Garris,10127
Kristine Peterson,12702
Buddy Van Horn,10651
James Signorelli,5680
John R. Cherry III,26386
Don Bluth,12144
Ken Wiederhorn,24929
Dan O'Bannon,10925
Geoff Burrowes,13965
George T. Miller,24266
Kenneth Johnson,11966
John Badham,2605
Anthony Hickox,29095
Robert Radler,32049
Stephen Herek,1648
David Irving,53150
Albert Pyun,10134
Marc Rocco,15142
Jean-Claude Lord,25005
Martin Davidson,21721
Rod Daniel,10345
Jean-Claude Van Damme,10222
David Worth,10222
Mark DiSalle,10222
Amy Heckerling,9494
David S. Ward,9942
Joe Johnston,331
Jim Wynorski,19142
Rowdy Herrington,10135
Jeff Burr,30666
Joseph Ruben,25155
Steve Miner,11342
Robert Klane,8494
Frank Henenlotter,27813
Garry Marshall,9880
Brett Ratner,5175
Buddy Van Horn,17169
J.B. Rogers,2770
Victor Salva,8922
Jon Turteltaub,16314
Charles T. Kanganis,18885
Shin Sang-ok,40508
Brian Trenchard-Smith,30379
Paul J. Lombardi,30379
Irvin Kershner,35200
Ben Stiller,9398
John Dahl,10866
Tommy Chong,13612
Don Siegel,984
Richard Kelly,141
Pete Docter,585
Fred Walton,45964
Chris Columbus,671
William Wyler,16085
Don Coscarelli,16441
James Glickenhaus,37835
Kevin Connor,26398
James Fargo,10649
Kevin Connor,27591
Clint Eastwood,10650
John Moore,8007
Steven Soderbergh,161
Peter Hewitt,1649
Peter Jackson,120
Ralph Bakshi,12593
Michael Mak,45491
Walter Hill,11595
Richard Fleischer,9610
Walter Hill,150
David M. Evans,11528
Robin Budd,16690
Donovan Cook,16690
Herbert Ross,39282
Joseph L. Mankiewicz,993
Michael Rymer,11979
Michael Ritchie,23479
John Berry,66946
Michael Pressman,19050
Stuart Heisler,108266
Bill Kroyer,13225
Lucio Fulci,7219
Gilbert Cates,38147
Carl Reiner,24032
Chris Wedge,425
Paul W.S. Anderson,1576
Norman Z. McLeod,17804
David Butler,31805
Victor Schertzinger,13861
Victor Schertzinger,31812
Hal Needham,12705
Hal Needham,11006
Dick Lowry,15120
Guillermo del Toro,36586
Walt Becker,11452
George Roy Hill,11590
Joel Zwick,8346
Roberto Rossellini,307
John De Bello,15482
Bill Froehlich,45878
Leonard Nimoy,12154
Chuck Russell,9334
James Isaac,11470
Sam Raimi,557
