cast,revenue,movies,return
Ahman Green,873260194.0,1,3.493040776
Ahmed Ahmed,585174222.0,1,4.179815871428572
Ahmed Ahmed Poor,0.0,1,0.0
Ahmed Best,2423715886.0,4,5.242830152436834
Ahmed Boulane,0.0,1,0.0
Ahmed El Shenawi,333000000.0,1,11.892857142857142
Ahmed Osman,543934787.0,1,3.0558134101123597
Ahmet Orhan Ozcam,376141306.0,1,8.358695688888888
Ahmet Zappa,0.0,1,0.0
Ahn Yeon-suk,14980005.0,1,4.993335
Ahney Her,873260194.0,1,3.493040776
Ai Hashimoto,0.0,1,0.0
Ai Iwamura,25000000.0,1,5.555555555555555
Ai Kobayashi,1461989.0,1,0.1461989
Ai Maeda,205949000.0,3,3.8623962962962963
Ai Orikasa,0.0,1,0.0
Ai Wan,244386864.0,1,7.405662545454545
Aida Turturro,39438674.0,1,1.864712718676123
Aidan Barton,850000000.0,1,7.522123893805309
Aidan Cook,1056057273.0,1,5.280286365
Aidan Feore,1004558444.0,1,5.430045643243243
Aidan Gemme,0.0,1,0.0
Aidan Gillen,1501799838.0,4,3.0182037483442623
Aidan Kassel,0.0,1,0.0
Aidan Kennedy,616801808.0,1,6.358781525773196
Aidan McArdle,0.0,1,0.0
Aidan Quinn,0.0,1,0.0
Aidan Turner,2935523356.0,3,3.9140311413333335
Aiden Lovekamp,220914545.0,2,18.18662685
Aidy Bryant,705717432.0,1,3.52858716
Aija Terauda,890871626.0,1,3.4529907984496124
Aiko Horiuchi,38610009.0,1,7.7220018
Aiko Sato,163644662.0,1,5.454822066666667
Aiko Tanaka,158468292.0,1,1.8643328470588236
Aileen Archer,809342332.0,1,4.496346288888889
Aileen Lewis,124198765.0,2,23.919135694444442
Aileen Marson,0.0,1,0.0
Aileen Quinn,57059003.0,1,1.14118006
Ailen Sit,21890845.0,2,0.0
Aimee Brooks,0.0,1,0.0
Aimee Garcia,242688965.0,1,2.0224080416666665
Aimee Graham,25836616.0,2,0.6799109473684211
Aimee J. Nelson,0.0,1,0.0
Aimee Miles,890871626.0,1,3.4529907984496124
Aimee Spring Fortier,0.0,1,0.0
Aimee Teegarden,180219576.0,2,2.875851375
Aimee-Lynn Chadwick,70067909.0,3,1.2292615614035087
Aine Leicht,0.0,1,0.0
Aisha Hinds,467365246.0,1,2.4598170842105263
Aisha Kabia,604942143.0,1,2.32670055
Aisha Tyler,257355187.0,2,4.8504927628205134
Aishwarya Rai Bachchan,122267459.0,2,2.1089285
Aisling Loftus,0.0,1,0.0
Aisling O'Neill,38629478.0,1,0.5518496857142857
Aitor Legardón,10158000.0,1,0.0
Aiyaz Ahmed,604942143.0,1,2.32670055
Aj Bediako,164602163.0,1,1.431323156521739
Aj Risi,543934787.0,1,3.0558134101123597
Aja Evans,1084939099.0,1,4.339756396
Aja Frary,1215439994.0,1,6.07719997
Aja George,159291809.0,1,5.309726966666667
Ajani Perkins,1104486187.0,2,4.087261647252747
Ajarae Coleman,623933331.0,1,3.119666655
Ajay Devgn,0.0,1,0.0
Ajay Mehta,821708551.0,1,5.911572309352518
Ajay Naidu,76488889.0,1,3.3256038695652173
Ajith Kumar,0.0,1,0.0
Akaji Maro,333108461.0,2,5.551807683333333
Akemi Goto,48917680.0,2,11.798411904761904
Akemi Negishi,0.0,2,0.0
Aki Aleong,6193901.0,1,0.0
Aki Inoue,25000000.0,1,5.555555555555555
Aki Maeda,25000000.0,1,5.555555555555555
Aki Morita,7171.0,1,0.0
Akie Kotabe,415484914.0,1,3.4623742833333333
Akiff Premjee,287506194.0,1,9.914006689655173
Akihiko Hirata,0.0,7,0.0
Akihiro Kitamura,0.0,1,0.0
Akihiro Tayama,0.0,1,0.0
Akihiro Ugajin,25000000.0,1,5.555555555555555
Akiji Kobayashi,0.0,3,0.0
Akiko Shima,68673228.0,1,3.6143804210526316
Akiko Wakabayashi,111584787.0,3,3.9152556842105266
Akim Tamiroff,0.0,1,0.0
Akimoto Tsubasa,1461989.0,1,0.1461989
Akin Gazi,809342332.0,1,4.496346288888889
Akio Isono,0.0,1,0.0
Akio Kusama,0.0,1,0.0
Akio Mitamura,333000000.0,1,11.892857142857142
Akio Miyabe,0.0,1,0.0
Akio Ohtsuka,12077365.0,4,0.0
Akira Emoto,0.0,1,0.0
Akira Ishida,20000000.0,1,0.0
Akira Ishihama,0.0,1,0.0
Akira Kamiya,0.0,1,0.0
